Temperature,Humidity,Rainfall_1h,Rainfall_3h,pH,Clay_Content,Sand_Content,Silt_Content,CEC,Crop
51.72,90.221,35.34,160.58,7.69,86.34,89.41,76.43,78.84,Bamboo
62.02,61.851,182.33,164.28,1.59,192.03,79.77,54.22,97.43,Ginger
39.04,194.157,23.22,62.7,1.06,168.7,120.78,27.2,87.21,Bamboo
80.32,157.497,59.22,19.29,3.11,69.75,173.32,102.82,92.33,Cabbage
12.51,143.105,54.32,31.13,3.0,43.84,191.34,8.73,67.12,Papaya
78.82,17.664,5.9,179.04,4.37,183.98,24.17,5.61,49.89,Sesame
53.69,50.623,10.79,155.67,1.8,94.3,38.55,170.53,8.0,Papaya
90.75,150.508,110.69,7.95,1.46,101.87,48.65,39.13,19.62,Pearl Millet
42.46,107.544,90.29,65.04,7.95,64.54,119.52,185.88,2.39,Sesame
23.52,175.893,149.09,66.61,5.63,166.72,88.98,2.51,25.27,Onion
95.88,145.398,52.92,137.1,6.21,92.55,59.88,82.69,41.05,Orange
88.17,144.767,54.23,163.69,0.28,75.87,142.09,4.74,88.64,Tomato
21.05,170.856,29.87,148.85,8.64,103.48,24.24,119.66,22.6,Pistachio
51.89,179.063,114.35,111.96,3.12,49.45,127.8,165.97,58.41,Pearl Millet
97.76,150.136,132.25,46.9,6.59,69.75,23.03,106.98,51.7,Carrot
10.01,87.096,157.25,184.3,6.6,141.09,1.96,51.08,73.9,Pistachio
85.55,187.971,124.45,161.96,7.73,195.18,172.67,144.14,94.84,Coconut
33.83,8.42,192.77,139.06,6.42,58.92,104.42,163.1,4.4,Onion
62.06,46.467,8.65,110.49,4.41,18.74,183.37,103.16,64.57,Cotton
97.11,97.705,39.94,23.57,6.98,36.43,36.02,13.34,58.46,Cabbage
88.85,1.154,74.99,64.59,3.03,83.35,175.57,143.76,81.61,Onion
80.27,99.699,36.35,141.48,4.04,71.81,166.21,57.94,18.26,Cotton
99.77,182.202,139.37,149.03,4.37,184.97,18.29,96.65,72.74,Sesame
81.96,27.991,57.14,59.05,9.86,50.01,135.43,70.23,82.33,Papaya
55.35,180.987,99.51,15.13,6.96,184.71,183.74,167.19,29.45,Pistachio
71.49,38.656,112.28,84.36,2.22,174.34,21.61,67.6,59.83,Pearl Millet
69.17,106.365,160.49,171.87,4.08,33.26,31.77,192.0,48.51,Bamboo
80.05,121.234,185.07,17.96,7.87,197.78,6.0,105.43,31.32,Carrot
39.07,132.456,66.23,120.08,2.86,53.08,28.17,183.59,53.03,Carrot
42.79,99.044,105.62,106.35,7.95,130.95,40.68,69.58,75.73,Coconut
77.77,144.211,116.58,47.82,4.06,131.81,100.4,131.89,80.42,Cotton
15.79,31.346,59.25,132.65,8.41,125.14,6.0,8.43,42.08,Rye
12.71,37.848,12.99,70.46,8.1,108.71,184.84,27.63,3.51,Cotton
32.36,61.969,172.28,130.28,3.43,147.24,160.22,162.11,67.43,Onion
57.55,96.236,145.39,89.89,8.94,72.86,0.65,77.82,45.64,Rye
94.76,7.629,152.54,21.82,6.06,162.09,164.56,80.61,13.78,Cotton
47.12,160.746,180.05,189.37,8.28,60.85,141.29,152.46,76.99,Rye
88.66,33.845,52.63,84.7,6.25,13.18,194.43,121.66,17.14,Papaya
24.84,56.797,51.77,155.71,0.52,181.29,54.77,109.79,27.76,Coconut
69.67,102.674,198.36,45.7,8.87,190.98,37.91,77.06,15.6,Papaya
91.44,197.811,52.86,145.14,8.11,175.21,59.1,121.38,0.97,Cotton
63.26,152.015,171.85,74.03,7.19,118.49,92.52,189.52,98.07,Pistachio
77.66,118.178,51.76,84.6,3.37,77.5,99.66,29.87,53.17,Sesame
0.44,199.081,4.37,103.81,1.05,52.65,2.77,53.05,71.51,Pistachio
47.54,162.379,159.39,97.9,7.45,4.54,24.94,32.86,62.97,Barley
76.19,95.579,7.07,80.55,3.9,161.93,76.62,23.6,68.62,Onion
17.03,20.801,25.65,67.53,6.12,162.84,102.99,132.18,32.59,Mango
55.15,99.093,161.02,123.81,9.21,6.81,50.95,140.55,40.09,Cotton
10.73,97.488,28.63,198.14,5.15,11.07,130.33,18.03,24.53,Pistachio
22.08,103.684,168.54,175.8,7.68,69.41,25.16,72.32,73.31,Barley
36.6,158.335,31.29,37.91,1.93,35.51,127.44,20.2,54.0,Sesame
80.53,84.052,45.33,188.87,7.88,40.65,116.89,183.76,4.55,Bamboo
15.44,187.243,10.0,51.54,2.06,54.62,145.68,101.36,18.73,Papaya
54.75,156.299,18.73,187.59,4.63,114.92,3.69,51.84,63.79,Mango
33.66,21.74,184.85,139.35,4.36,72.04,140.09,101.87,14.97,Cotton
51.98,146.421,54.27,147.37,8.47,7.18,147.46,100.67,95.76,Bamboo
26.1,75.976,30.34,113.49,2.97,33.4,60.31,3.09,80.75,Sesame
93.81,154.002,157.56,14.57,8.55,189.9,171.29,12.57,61.49,Cabbage
18.71,116.863,60.79,140.9,4.72,149.75,193.29,14.39,77.97,Papaya
10.52,157.79,118.49,102.59,1.18,11.09,130.2,195.08,67.36,Rye
59.27,198.618,50.34,121.67,5.25,28.29,12.67,199.47,52.11,Orange
34.4,122.47,144.01,166.09,1.68,141.65,141.74,170.41,64.69,Mango
9.55,87.144,194.5,172.89,9.1,101.38,168.18,68.57,94.34,Papaya
41.8,36.15,146.51,120.94,4.78,186.84,37.73,178.45,45.33,Onion
69.14,150.948,147.96,184.5,3.35,112.31,2.72,117.9,52.62,Barley
5.09,135.216,55.72,33.16,7.18,193.56,45.51,14.71,55.89,Pearl Millet
20.34,59.146,57.71,70.47,9.94,0.21,81.91,175.67,95.77,Sesame
77.76,22.85,159.53,119.19,3.53,178.75,66.19,161.64,27.31,Cotton
30.63,101.24,112.7,167.78,4.21,83.08,195.0,113.47,9.11,Orange
61.3,149.038,0.75,128.4,4.16,69.44,148.08,67.27,51.19,Cabbage
20.12,108.294,135.29,27.11,5.59,111.43,28.57,97.59,75.65,Tomato
61.4,119.948,32.67,109.62,4.19,48.32,198.03,172.27,4.21,Papaya
24.08,81.712,141.72,173.68,1.71,5.58,55.92,190.95,48.13,Carrot
59.03,110.94,57.25,154.12,2.91,31.94,195.71,32.93,72.63,Cabbage
